date,exit,S,S_T,iv,prem,pnl,cap
2021-07-27,2021-08-05,15746.45,16294.6,0.132,261.57,-18225.19,981774.81
2021-08-16,2021-08-26,16563.05,16636.9,0.135,295.1,13103.63,994878.43
2021-08-27,2021-09-07,16705.2,17362.1,0.134,311.08,-20624.28,974254.15
2021-09-08,2021-09-20,17353.5,17396.9,0.144,362.58,17908.09,992162.24
2021-09-21,2021-09-30,17562.0,17618.15,0.165,363.89,17373.67,1009535.91
2021-10-01,2021-10-12,17532.05,17991.95,0.172,418.4,-2414.72,1007121.19
2021-10-20,2021-10-29,18266.6,17671.65,0.183,419.35,-9709.79,997411.4
2021-11-22,2021-12-01,17416.55,17166.9,0.175,382.64,7597.71,1005009.11
2021-12-03,2021-12-14,17196.7,17324.9,0.185,439.84,18196.44,1023205.55
2021-12-20,2021-12-29,16614.2,17213.6,0.19,395.12,-12611.67,1010593.88
2022-01-05,2022-01-14,17925.25,18255.75,0.172,387.32,3182.94,1013776.83
2022-01-18,2022-01-28,18113.05,17101.95,0.178,425.71,-32804.5,980972.32
2022-01-31,2022-02-09,17339.85,17463.8,0.22,476.97,19954.65,1000926.97
2022-02-14,2022-02-23,16842.8,17063.25,0.23,484.99,15700.26,1016627.23
2022-02-24,2022-03-08,16247.95,16013.45,0.32,751.33,32307.06,1048934.29
2022-03-09,2022-03-21,16345.35,17117.6,0.275,649.42,-7927.81,1041006.48
2022-04-25,2022-05-05,16953.95,16682.65,0.213,476.18,12557.39,1053563.87
2022-05-06,2022-05-17,16411.25,16259.3,0.212,483.23,21246.9,1074810.76
2022-05-18,2022-05-27,16240.3,16352.45,0.223,453.84,22594.56,1097405.32
2022-06-16,2022-06-27,15360.6,15832.05,0.229,486.67,1053.46,1098458.78
2022-06-29,2022-07-08,15799.1,16220.6,0.219,433.6,811.83,1099270.6
2022-08-02,2022-08-12,17345.45,17698.15,0.185,424.8,4544.5,1103815.1
2022-08-22,2022-09-01,17490.7,17542.8,0.19,440.1,24470.83,1128285.93
2022-09-02,2022-09-13,17539.45,18070.05,0.195,475.26,-3592.54,1124693.39
2022-09-16,2022-09-27,17530.85,17007.4,0.198,481.56,-2719.46,1121973.93
2022-09-28,2022-10-10,16858.6,17241.0,0.221,539.17,10402.37,1132376.3
2022-12-16,2022-12-28,18269.0,18122.5,0.141,372.77,14008.73,1146385.03
2022-12-29,2023-01-09,18191.0,18101.2,0.148,373.87,17887.35,1164272.38
2023-01-10,2023-01-19,17914.15,18107.85,0.155,348.58,10048.4,1174320.78
2023-01-27,2023-02-07,17604.35,17721.5,0.173,422.8,20370.85,1194691.63
2023-02-22,2023-03-03,17554.3,17594.35,0.156,343.33,20627.52,1215319.15
2023-03-13,2023-03-22,17154.3,17151.9,0.162,349.01,24543.56,1239862.71
2023-03-24,2023-04-06,16945.05,17599.15,0.152,389.65,-19387.54,1220475.17
2023-05-05,2023-05-16,18069.0,18286.5,0.123,308.83,6151.07,1226626.24
2023-05-17,2023-05-26,18181.75,18499.35,0.131,299.3,-1255.18,1225371.06
2023-07-03,2023-07-12,19322.55,19384.3,0.115,280.24,13844.87,1239215.93
2023-07-18,2023-07-27,19749.25,19659.9,0.117,290.61,12616.81,1251832.74
2023-08-08,2023-08-18,19570.85,19310.15,0.113,293.9,2105.61,1253938.35
2023-08-21,2023-08-30,19393.6,19347.45,0.12,291.43,15847.93,1269786.28
2023-08-31,2023-09-11,19253.8,19996.35,0.121,322.71,-27723.28,1242063.01
2023-09-27,2023-10-09,19716.45,19512.35,0.116,331.94,8036.71,1250099.72
2023-10-26,2023-11-06,18857.25,19411.75,0.117,307.49,-16403.28,1233696.44
2023-11-16,2023-11-28,19765.2,19889.7,0.116,334.47,13091.36,1246787.8
2023-11-29,2023-12-08,20096.6,20969.4,0.127,320.79,-34283.43,1212504.38
2023-12-11,2023-12-20,20997.1,21150.15,0.128,336.48,10578.08,1223082.46
2023-12-21,2024-01-03,21255.05,21517.35,0.138,441.62,10298.67,1233381.12
2024-01-17,2024-01-30,21571.95,21522.1,0.151,490.88,25200.38,1258581.5
2024-01-31,2024-02-09,21725.7,21782.5,0.16,437.4,22034.15,1280615.65
2024-02-12,2024-02-22,21616.05,22217.45,0.161,459.08,-8462.84,1272152.81
2024-02-28,2024-03-11,21951.15,22332.65,0.163,519.37,7964.0,1280116.82
2024-04-18,2024-04-29,21995.85,22643.4,0.13,398.38,-14531.8,1265585.02
2024-04-30,2024-05-10,22604.85,22055.2,0.129,385.21,-9232.97,1256352.04
2024-05-13,2024-05-23,22104.05,22967.65,0.206,601.61,-14932.48,1241419.56
2024-05-24,2024-06-04,22957.1,21884.5,0.217,690.56,-20706.66,1220712.9
2024-07-09,2024-07-19,24433.2,24530.9,0.143,461.67,18170.58,1238883.48
2024-07-22,2024-07-31,24509.25,24951.15,0.154,474.77,1638.2,1240521.68
2024-08-02,2024-08-13,24717.7,24139.0,0.143,491.3,-4413.01,1236108.66
2024-09-06,2024-09-17,24852.15,25418.55,0.152,524.83,-2094.58,1234014.09
2024-10-04,2024-10-15,25014.6,25057.35,0.141,490.65,22082.52,1256096.6
2024-10-21,2024-10-30,24781.1,24340.85,0.138,428.05,-640.61,1255455.99
2024-10-31,2024-11-11,24205.35,24141.3,0.156,522.2,23747.54,1279203.53
2024-11-13,2024-11-26,23559.05,24194.5,0.154,548.81,-4736.58,1274466.94
2024-12-20,2025-01-02,23587.5,24188.65,0.151,536.39,-3529.94,1270937.0
2025-01-06,2025-01-15,23616.05,23213.2,0.156,463.66,3249.21,1274186.21
2025-01-16,2025-01-27,23311.8,22829.15,0.155,500.35,940.39,1275126.6
2025-01-28,2025-02-06,22957.25,23603.35,0.182,523.87,-6821.41,1268305.19
2025-04-01,2025-04-11,23165.7,22828.55,0.138,422.49,4651.43,1272956.61
2025-04-30,2025-05-12,24334.2,24924.7,0.182,642.06,2664.77,1275621.38
2025-07-28,2025-08-06,24680.9,24574.2,0.121,373.96,13800.52,1289421.9
2025-08-07,2025-08-19,24596.15,24980.65,0.117,417.63,1715.87,1291137.77
2025-08-26,2025-09-05,24712.05,24741.0,0.122,399.02,19324.24,1310462.01
2025-09-26,2025-10-08,24654.7,25046.15,0.114,409.41,933.31,1311395.32
2025-10-13,2025-10-23,25227.35,25891.4,0.11,368.24,-15404.16,1295991.16
2025-10-24,2025-11-04,25795.15,25597.65,0.116,415.65,10944.96,1306936.12
2025-11-06,2025-11-17,25509.7,26013.45,0.124,439.87,-3296.96,1303639.16
2025-11-21,2025-12-02,26068.15,26032.2,0.136,493.34,22860.23,1326499.39
2026-01-08,2026-01-20,25876.85,25232.5,0.106,398.85,-12611.79,1313887.6
2026-01-21,2026-02-02,25157.5,25088.4,0.138,502.82,22636.62,1336524.23
2026-02-13,2026-02-24,25471.1,25424.65,0.133,470.1,22216.28,1358740.51
2026-02-25,2026-03-09,25482.5,24028.05,0.135,498.67,-51014.51,1307726.0
2026-03-10,2026-03-19,24261.6,23002.15,0.189,575.17,-36932.98,1270793.01
2026-03-20,2026-04-02,23114.5,22713.1,0.228,794.08,21556.17,1292349.18
2026-04-06,2026-04-16,22968.25,24196.75,0.255,772.54,-25711.89,1266637.29
2026-05-12,2026-05-18,23379.55,23649.95,0.193,461.29,10322.19,1276959.48
